Extraversion,Observant,Thinking,Judging,Age,way of watching movies,Action,Adventure,Animated,Comedy,Historical,Fantasy,Horror,Science fiction,Documentary,Gender_Female,Gender_Male,Gender_Non-binary / third gender,Entertaining,relaxing,funny,express my feelings,educating,education_bachelor,education_high school or below,education_master or above,Major_arts-related,Major_business-related,Major_engineering and techonology,Major_environment-related,Major_literature language and social sciences,Major_science and math-related,subscription_Never,subscription_Somtimes,subscription_Yes,Frequency_6-10 times a year,Frequency_fewer than 5 times a year,Frequency_more than 10 times a year,number_0-20,number_21-40,number_over 40,with_With friends,with_alone,with_with boyfriend/girlfriend,with_with family,Actor/actress,director,advertisements,genres,previews,comment
71,64,58,93,23.0,0,5,5,3,4,1,4,3,5,2,0,1,0,1.0,1.0,0.0,1.0,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0
51,78,76,58,21.0,1,4,2,2,3,4,2,1,4,3,0,1,0,1.0,1.0,0.0,1.0,0.0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1.0,1.0,0.0,0.0,1.0,0.0
57,63,33,39,21.0,0,2,4,5,4,1,5,4,4,4,1,0,0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,1.0
83,16,65,51,23.0,0,2,2,5,5,2,4,1,3,3,1,0,0,1.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1.0,0.0,0.0,1.0,0.0,1.0
25,59,68,32,22.0,0,4,4,2,2,2,4,2,5,2,0,1,0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0.0,0.0,0.0,1.0,1.0,1.0
38,75,83,47,22.0,1,4,4,4,4,3,4,2,5,3,0,1,0,1.0,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1.0,0.0,0.0,1.0,0.0,1.0
29,49,30,53,23.0,1,4,3,4,4,2,4,3,3,3,0,1,0,1.0,1.0,0.0,1.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0
36,58,40,43,23.0,1,4,4,4,4,4,5,1,3,4,1,0,0,1.0,1.0,0.0,1.0,0.0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0.0,1.0,0.0,1.0,0.0,1.0
67,70,49,61,21.0,0,3,4,3,4,3,4,3,3,3,1,0,0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1.0,0.0,0.0,1.0,0.0,1.0
70,64,59,68,23.0,1,2,5,3,4,3,5,1,4,4,1,0,0,1.0,1.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0
54,60,40,44,22.0,1,3,4,4,4,3,5,3,4,4,0,1,0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1.0,0.0,0.0,1.0,1.0,0.0
12,82,79,28,30.0,0,2,2,4,4,5,5,2,2,4,1,0,0,1.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0.0,0.0,0.0,1.0,1.0,1.0
