Finished,Extraversion,Observant,Thinking,Judging,Age,Gender,education,Major,way of watching movies,subscription,Frequency,number of movies,Reasons,With whom,factors,Action,Adventure,Animated,Comedy,Historical,Fantasy,Horror,Science fiction,Documentary
TRUE,71,64,58,93,23,Male,master or above,engineering and techonology,on mobile devices at home or other places,Yes,fewer than 5 times a year,0-20,"Entertaining,relaxing,express my feelings",With friends,"Actor/actress,director,genres",Strongly like,Strongly like,neither like nor dislike,like,Strongly dislike,like,neither like nor dislike,Strongly like,dislike
TRUE,51,78,76,58,,Male,master or above,engineering and techonology,Go to cinema or theatres,Yes,6-10 times a year,21-40,"Entertaining,relaxing,express my feelings",With friends,"Actor/actress,director,previews",like,dislike,dislike,neither like nor dislike,like,dislike,Strongly dislike,like,neither like nor dislike
TRUE,57,63,33,39,21,Female,bachelor,science and math-related,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",with boyfriend/girlfriend,"Actor/actress,previews,comments of other audience",dislike,like,Strongly like,like,Strongly dislike,Strongly like,like,like,like
TRUE,83,16,65,51,23,Female,master or above,science and math-related,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",with boyfriend/girlfriend,"Actor/actress,genres,comments of other audience",dislike,dislike,Strongly like,Strongly like,dislike,like,Strongly dislike,neither like nor dislike,neither like nor dislike
TRUE,25,59,68,32,22,Male,bachelor,science and math-related,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,relaxing,with boyfriend/girlfriend,"genres,previews,comments of other audience",like,like,dislike,dislike,dislike,like,dislike,Strongly like,dislike
TRUE,38,75,83,47,22,Male,master or above,business-related,Go to cinema or theatres,Never,more than 10 times a year,0-20,"Entertaining,relaxing",with boyfriend/girlfriend,"Actor/actress,genres,comments of other audience",like,like,like,like,neither like nor dislike,like,dislike,Strongly like,neither like nor dislike
TRUE,29,49,30,53,23,Male,master or above,business-related,Go to cinema or theatres,Yes,more than 10 times a year,21-40,"Entertaining,relaxing,express my feelings",With friends,"genres,previews,comments of other audience",like,neither like nor dislike,like,like,dislike,like,neither like nor dislike,neither like nor dislike,neither like nor dislike
TRUE,36,58,40,43,23,Female,master or above,environment-related,Go to cinema or theatres,Somtimes,6-10 times a year,0-20,"Entertaining,relaxing,express my feelings",with boyfriend/girlfriend,"director,genres,comments of other audience",like,like,like,like,like,Strongly like,Strongly dislike,neither like nor dislike,like
TRUE,67,70,49,61,21,Female,bachelor,science and math-related,on mobile devices at home or other places,Somtimes,6-10 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,genres,comments of other audience",neither like nor dislike,like,neither like nor dislike,like,neither like nor dislike,like,neither like nor dislike,neither like nor dislike,neither like nor dislike
TRUE,70,64,59,68,23,Female,master or above,science and math-related,Go to cinema or theatres,Yes,6-10 times a year,0-20,"Entertaining,relaxing,express my feelings",With friends,"genres,previews,comments of other audience",dislike,Strongly like,neither like nor dislike,like,neither like nor dislike,Strongly like,Strongly dislike,like,like
TRUE,54,60,40,44,22,Male,bachelor,science and math-related,Go to cinema or theatres,Yes,more than 10 times a year,21-40,relaxing,with boyfriend/girlfriend,"Actor/actress,genres,previews",neither like nor dislike,like,like,like,neither like nor dislike,Strongly like,neither like nor dislike,like,like
TRUE,12,82,79,28,30,Female,master or above,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"Entertaining,educating",alone,"genres,previews,comments of other audience",dislike,dislike,like,like,Strongly like,Strongly like,dislike,dislike,like
TRUE,53,64,37,29,21,Female,bachelor,arts-related,on mobile devices at home or other places,Somtimes,6-10 times a year,0-20,relaxing,With friends,"Actor/actress,advertisements,previews",dislike,dislike,Strongly dislike,like,like,like,like,like,Strongly like
TRUE,36,35,47,76,23,Female,bachelor,environment-related,Go to cinema or theatres,Never,6-10 times a year,0-20,"Entertaining,relaxing,express my feelings",With friends,"genres,previews,comments of other audience",dislike,dislike,neither like nor dislike,like,neither like nor dislike,Strongly like,Strongly dislike,like,like
TRUE,43,49,37,60,19,Female,high school or below,literature language and social sciences,Go to cinema or theatres,Somtimes,more than 10 times a year,21-40,"Entertaining,relaxing,express my feelings",With friends,"Actor/actress,genres,previews",like,like,like,like,neither like nor dislike,Strongly like,neither like nor dislike,neither like nor dislike,neither like nor dislike
TRUE,63,54,18,78,22,Male,master or above,science and math-related,Go to cinema or theatres,Yes,more than 10 times a year,0-20,"Entertaining,relaxing",alone,"Actor/actress,genres,comments of other audience",like,Strongly like,like,like,like,Strongly like,Strongly dislike,Strongly like,like
